,Coefficient,Odds Ratio,OR 95% CI Lower,OR 95% CI Upper,P-value
Intercept,-23.88304531742525,4.243509781625291e-11,0.0,inf,0.9990950907431886
"C(Powder, Treatment('Virgin'))[T.Recycled]",0.8146845419198901,2.2584631095272303,0.0,inf,0.9999929491627211
"C(Layout, Treatment('6X6'))[T.11X11TA]",-4.9096612228557195,0.007374986385029006,0.0,inf,0.9999523279130502
"C(Layout, Treatment('6X6'))[T.6X6TA]",-2.0320307077790654,0.13106908769982692,0.0,inf,0.9999661852635835
IsEdge,-0.39409078551329974,0.6742928374402348,0.0,inf,0.9999891918449213
